Référence	ContexteGauche	Pivot	ContexteDroit   [type="VERcjg" & word=".*et"]
roland	p. 34, v. 125	« Salvet seiez de Deu, Le Glorius, que devuns aürer ! Iço vus	mandet	reis Marsilies li bers : Enquis ad mult la lei de salvetet, De sun
roland	p. 34, v. 138	ço dit, mis avoez. » Li empereres tent ses mains vers Deu,	Baisset	sun chef, si cumencet a penser. AOI. Li empereres en tint sun
roland	p. 34, v. 138	. » Li empereres tent ses mains vers Deu, Baisset sun chef, si	cumencet	a penser. AOI. Li empereres en tint sun chef enclin. De sa
roland	p. 34, v. 141	enclin. De sa parole ne fut mie hastifs ; Sa custume est qu'il	parolet	a leisir. Quant se redrecet, mult par out fier lu vis ; Dist
roland	p. 34, v. 142	fut mie hastifs ; Sa custume est qu'il parolet a leisir. Quant se	redrecet	, mult par out fier lu vis ; Dist as messages : « Vus avez
roland	p. 36, v. 166	li reis escultet. Desuz un pin en est li reis alez, Ses baruns	mandet	pur sun cunseill finer : Par cels de France voelt il del tut errer.
roland	p. 36, v. 169	errer. AOI. Li empereres s'en vait desuz un pin ; Ses baruns	mandet	pur sun cunseill fenir, Le duc Oger e l'arcevesque Turpin, Richard li
roland	p. 36, v. 179	plus de mil ; Guenes i vint, ki la traïson fist. Des ore	cumencet	le cunseill que mal prist. AOI. « Seignurs barons, dist li emperere
roland	p. 38, v. 187	l'or d'Arabe, Avoec iço plus de cinquante care. Mais il me	mandet	que en France m'en alge, Il me sivrat ad Ais, a mun
roland	p. 38, v. 194	. Li empereres out sa raisun fenie. Li quens Rollant, ki ne l'	otriet	mie, En piez se drecet, si li vint cuntredire. Il dist al
roland	p. 38, v. 195	fenie. Li quens Rollant, ki ne l'otriet mie, En piez se	drecet	, si li vint cuntredire. Il dist al rei : « Ja mar crerez
roland	p. 40, v. 218	sun nevuld. Franceis se taisent, ne mais que Guenelun. En piez se	drecet	, si vint devant Carlun, Mult fierement cumencet sa raisun E dist al rei
roland	p. 40, v. 219	que Guenelun. En piez se drecet, si vint devant Carlun, Mult fierement	cumencet	sa raisun E dist al rei : « Ja mar crerez bricun, Ne mei
roland	p. 40, v. 222	, Ne mei ne altre, se de vostre prod nun ! Quant ço vos	mandet	li reis Marsiliun Qu'il devendrat jointes ses mains tis hom E tute Espaigne tendrat
roland	p. 40, v. 226	par vostre dun, Puis recevrat la lei que nus tenum, Ki ço vos	lodet	que cest plait degetuns, Ne li chalt, sire, de quel mort nus
roland	p. 40, v. 239	fruiset ses murs, Ses citez arses e ses humes vencuz : Quant il vos	mandet	qu'aiez mercit de lui, Pecchet fereit ki dunc li fesist plus. U
roland	p. 44, v. 278	Ço ert Guenes, mis parastre. » Dient Franceis : « Car il le	poet	ben faire ; Se lui lessez, n'i trametrez plus saive. » E
roland	p. 44, v. 281	saive. » E li quens Guenes en fut mult anguisables. De sun col	getet	ses grandes pels de martre E est remés en sun blialt de palie. Vairs
roland	p. 44, v. 287	. Dist a Rollant : « Tut fol, pur quei t'esrages ? Ço	set	hom ben que jo sui tis parastres, Si as juget qu'a Marsiliun en
roland	p. 44, v. 289	tis parastres, Si as juget qu'a Marsiliun en alge. Se Deus ço	dunet	que jo de la repaire, Jo t'en muvra une si grant contraire Ki
roland	p. 44, v. 293	trestut tun edage. » Respunt Rollant : « Orgoill oi e folage. Ço	set	hom ben, n'ai cure de manace ; Mais saives hom, il deit
roland	p. 44, v. 298	. Tu n'ies mes hom, ne jo ne sui tis sire. Carles	comandet	que face sun servise : En Sarraguce en irai a Marsilie. Einz i frai
roland	p. 46, v. 310	en present : Ademplir voeill vostre comandement. En Sarraguce sai ben qu'aler m'	estoet	. AOI. Hom ki la vait repairer ne s'en poet. Ensurquetut si
roland	p. 46, v. 311	qu'aler m'estoet. AOI. Hom ki la vait repairer ne s'en	poet	. Ensurquetut si ai jo vostre soer, Sin ai un filz, ja plus
roland	p. 46, v. 313	ai jo vostre soer, Sin ai un filz, ja plus bels n'en	estoet	, Ço est Baldewin, ço dit, ki ert prozdoem. A lui lais
roland	p. 46, v. 318	respunt : « Tro avez tendre coer. Puis quel comant, aler vos en	estoet	. » Ço dist li reis : « Guenes, venez avant, AOI.
roland	p. 48, v. 358	: « Sire, car nos menez ! » Ço respunt Guenes : « Ne	placet	Damnedeu ! Mielz est que sul moerge que tant bon chevaler. En dulce France
roland	p. 48, v. 365	mun filz que vos savez, E lui aidez e pur seignur tenez. »	Entret	en sa veie, si s'est achiminez. AOI. Guenes chevalchet suz une
roland	p. 50, v. 366	. » Entret en sa veie, si s'est achiminez. AOI. Guenes	chevalchet	suz une olive halte, Asemblet s'est as sarrazins messages ; Mais Blancandrins ki
roland	p. 50, v. 368	halte, Asemblet s'est as sarrazins messages ; Mais Blancandrins ki envers lu s'	atarget	; Par grant saveir parolet li uns a l'altre. Dist Blancandrins : «
roland	p. 50, v. 369	as sarrazins messages ; Mais Blancandrins ki envers lu s'atarget ; Par grant saveir	parolet	li uns a l'altre. Dist Blancandrins : « Merveilus hom est Charles,
roland	p. 50, v. 390	. Li soens orgoilz le devreit ben cunfundre, Kar chascun jur de mort s'	abandunet	. Seit ki l'ociet, tute pais puis avriumes. » AOI. Dist
roland	p. 50, v. 391	devreit ben cunfundre, Kar chascun jur de mort s'abandunet. Seit ki l'	ociet	, tute pais puis avriumes. » AOI. Dist Blancandrins : « Mult est
roland	p. 52, v. 394	« Mult est pesmes Rollant, Ki tute gent voelt faire recreant E tutes teres	met	en chalengement ! Par quele gent quiet il espleiter tant ? » Guenes respunt :
roland	p. 52, v. 395	tute gent voelt faire recreant E tutes teres met en chalengement ! Par quele gent	quiet	il espleiter tant ? » Guenes respunt : « Par la franceise gent. Il
roland	p. 52, v. 398	gent. Il l'aiment tant ne li faldrunt nient. Or e argent lur	met	tant en present, Muls e destrers, palies e guarnemenz ; L'emperere meïsmes
roland	p. 52, v. 421	en levat cuntremunt, Loat sun Deu, ne fist altre respuns. Ci vos	enveiet	un sun noble barun, Ki est de France, si est mult riches hom
roland	p. 54, v. 424	Par lui orrez si avrez pais u nun. » Respunt Marsilie : « Or	diet	, nus l'orrum ! » AOI. Mais li quens Guenes se fut ben
roland	p. 54, v. 426	» AOI. Mais li quens Guenes se fut ben purpenset. Par grant saver	cumencet	a parler, Cume celui ki ben faire le set, E dist al rei
roland	p. 54, v. 427	purpenset. Par grant saver cumencet a parler, Cume celui ki ben faire le	set	, E dist al rei : « Salvez seiez de Deu, Li Glorius,
roland	p. 54, v. 430	« Salvez seiez de Deu, Li Glorius, qui devum aürer ! Iço vus	mandet	Carlemagnes li ber Que recevez seinte chrestientet ; Demi Espaigne vos voelt en fiu duner
roland	p. 56, v. 460	Que jo ne li die, se tant ai de leisir, Que Charles li	mandet	, li reis poësteïfs : Par mei li mandet, sun mortel enemi. »
roland	p. 56, v. 461	de leisir, Que Charles li mandet, li reis poësteïfs : Par mei li	mandet	, sun mortel enemi. » Afublez est d'un mantel sabelin Ki fut cuvert
roland	p. 56, v. 464	» Afublez est d'un mantel sabelin Ki fut cuvert d'un palie alexandrin.	Getet	le a tere, sil receit Blancandrin ; Mais de s'espee ne volt mie
roland	p. 56, v. 470	, Si li ad dit : « A tort vos curuciez, Quar ço vos	mandet	Carles, ki France tient, Que recevez la lei de chrestïens ; Demi Espaigne
roland	p. 56, v. 483	sur un malvais sumer. Par jugement iloec perdrez le chef. Nostre emperere vus	enveiet	cest bref. » El destre poign al paien l'ad livret. Marsilies fut
roland	p. 58, v. 487	esculurez de l'ire, Freint le seel, getet en ad la cire.	Guardet	al bref, vit la raisun escrite : « Carle me mandet, ki France
roland	p. 58, v. 488	la cire. Guardet al bref, vit la raisun escrite : « Carle me	mandet	, ki France ad en baillie, Que me remembre de la dolur e l'
roland	p. 58, v. 497	: « Guenes ad dit folie. Tant ad erret nen est dreiz que plus	vivet	. Livrez le mei, jo en ferai la justice. » Quant l'oït
roland	p. 58, v. 502	. Enz el verger s'en est alez li reis, Ses meillors humes en	meinet	ensembl'od sei, E Blancandrins i vint, al canud peil, E Jurfaret
roland	p. 58, v. 510	l'ad pris par la main destre as deiz, Enz el verger l'en	meinet	josqu'al rei. La purparolent la traïsun seinz dreit. AOI. « Bel
roland	p. 60, v. 530	« Carles n'est mie tels. N'est hom kil veit e conuistre le	set	Que ço ne diet que l'emperere est ber. Tant nel vos sai ne
roland	p. 60, v. 531	mie tels. N'est hom kil veit e conuistre le set Que ço ne	diet	que l'emperere est ber. Tant nel vos sai ne preiser ne loer Que
roland	p. 60, v. 544	mais recreanz d'osteier ? - Ço n'iert, dist Guenes, tant cum	vivet	sis niés : N'ad tel vassal suz la cape del ciel. Mult par
roland	p. 62, v. 557	mais d'osteier recreant ? - Ço n'iert, dist Guenes, tant cum	vivet	Rollant : N'ad tel vassal d'ici qu'en Orïent. Mult par est
roland	p. 62, v. 560	Mult par est proz Oliver, sis cumpain ; Li.XII. per, que Carles	aimet	tant, Funt les enguardes a.XX. milie de Francs. Soürs est Carles,
roland	p. 64, v. 586	li quens Rollant, li riches, E Oliver, en qui il tant se	fiet	..XX. milie Francs unt en lur cumpaignie. De voz paiens lur enveiez.C.
roland	p. 64, v. 602	» Quan l'ot Marsilie, si l'ad baiset el col, Puis si	cumencet	a venir ses tresors. AOI. Ço dist Marsilies : « Qu'en parlereient
roland	p. 66, v. 613	fut Mahum e Tervagan. Ço ad juret li Sarrazins espans, Se en rereguarde	troevet	le cors Rollant, Cumbatrat sei a trestute sa gent E, se il poet
roland	p. 66, v. 615	troevet le cors Rollant, Cumbatrat sei a trestute sa gent E, se il	poet	, murrat i veirement. Guenes respunt : « Ben seit vostre comant ! »
roland	p. 66, v. 636	Jo vos aim mult, sire, dist ele al cunte, Car mult vos	priset	mi sire e tuit si hume. A vostre femme enveierai dous nusches, Bien
roland	p. 68, v. 641	n'en out unches. » Il les ad prises, en sa hoese les	butet	. AOI. Li reis apelet Malduit, sun tresorer : « L'aveir Carlun
roland	p. 68, v. 642	Il les ad prises, en sa hoese les butet. AOI. Li reis	apelet	Malduit, sun tresorer : « L'aveir Carlun, est il apareilliez ? »
roland	p. 68, v. 660	respunt : « Mei est vis que trop targe ! » Pois est munted,	entret	en sun veiage. AOI. Li empereres aproismet sun repaire. Venuz en est
roland	p. 68, v. 661	! » Pois est munted, entret en sun veiage. AOI. Li empereres	aproismet	sun repaire. Venuz en est a la citet de Galne. Li quens Rollant
roland	p. 68, v. 667	, la grant tere. Par main en l'albe, si cum li jurz	esclairet	, Guenes li quens est venuz as herberges. AOI. Li empereres est par
roland	p. 70, v. 675	asez ; Guenes i vint, li fels, li parjurez. Par grant veisdie	cumencet	a parler E dist al rei : « Salvez seiez de Deu ! De Sarraguce
roland	p. 70, v. 680	en faz amener E.XX. hostages, faites les ben guarder, E si vos	mandet	reis Marsilies li ber De l'algalifes nel devez pas blasmer, Kar a mes
roland	p. 72, v. 706	violees. Ço dit li reis que sa guere out finee. Vers dulce France	chevalchet	l'emperere. Li quens Rollant ad l'enseigne fermee, En sum un tertre
roland	p. 72, v. 719	noit est aserie. Carles se dort, li empereres riches. Sunjat qu'il	eret	al greignurs porz de Sizer ; Entre ses poinz teneit sa hanste fraisnine ; Guenes
roland	p. 72, v. 724	le cel en volent les escicles ; Carles se dort, qu'il ne s'	esveillet	mie. Aprés iceste altre avisiun sunjat, Qu'il ert en France, a
roland	p. 74, v. 739	noit e apert la clere albe. Par mi cel host Li empereres mult fierement	chevalchet	. « Seignurs barons, dist li emperere Carles, Veez les porz e les
roland	p. 74, v. 745	baron de si grant vasselage. » Quant l'ot li reis, fierement le	reguardet	, Si li ad dit : « Vos estes vifs dïables. El cors vos
roland	p. 74, v. 750	respunt : « Oger de Denemarche : N'avez barun ki mielz de lui la	facet	. » Li quens Rollant, quant il s'oït juger, AOI. Dunc
roland	p. 74, v. 757	France tient, Men escïentre, palefreid ne destrer, Ne mul ne mule que	deiet	chevalcher, Ne n'i perdrat ne runcin ne sumer Que as espees ne seit
roland	p. 76, v. 769	que vos tenez el poign. Men escïentre, nel me reproverunt Que il me	chedet	cum fist a Guenelun De sa main destre, quant reçut le bastun. »
roland	p. 76, v. 773	tint sun chef enbrunc, Si duist sa barbe e detoerst sun gernun, Ne	poet	muer que des oilz ne plurt. Anprés iço i est Neimes venud, Meillor
roland	p. 76, v. 782	tendut, Si li truvez ki trés bien li aiut ! » Li reis li	dunet	e Rollant l'a reçut. Li empereres apelet ses niés Rollant : « Bel
roland	p. 76, v. 783	aiut ! » Li reis li dunet e Rollant l'a reçut. Li empereres	apelet	ses niés Rollant : « Bel sire niés, or savez veirement Demi mun host
roland	p. 78, v. 803	els eslisent.XX. milie chevalers. AOI. Li quens Rollant Gualter de l'Hum	apelet	: « Pernez mil Francs de France, nostre tere, Si purpernez les destreiz
roland	p. 78, v. 806	les destreiz e les tertres, Que l'emperere nis un des soens n'i	perdet	. » AOI. Respunt Gualter : « Pur vos le dei ben faire.
roland	p. 78, v. 809	ben faire. » Od mil Franceis de France, la lur tere, Gualter	desrenget	les destreit e les tertres : N'en descendrat pur malvaises nuveles Enceis qu'en
roland	p. 80, v. 820	a la Tere Majur, Virent Guascuigne, la tere lur seignur ; Dunc lur	remembret	des fius e des honurs, E des pulcele e des gentilz oixurs ; Cel
roland	p. 80, v. 825	As porz d'Espaigne ad lesset sun nevold. Pitet l'en prent, ne	poet	muer n'en plurt. AOI. Li.XII. per sunt remés en Espaigne.
roland	p. 80, v. 829	lur cumpaigne, Nen unt poür ne de murir dutance. Li emperere s'en	repairet	en France ; Suz sun mantel en fait la cuntenance. Dejuste lui li dux
roland	p. 80, v. 831	France ; Suz sun mantel en fait la cuntenance. Dejuste lui li dux Neimes	chevalchet	E dit al rei : « De quei avez pesance ? » Carles respunt :
roland	p. 80, v. 833	« De quei avez pesance ? » Carles respunt : « Tort fait kil me	demandet	! Si grant doel ai ne puis muer nel pleigne. Par Guenelun serat destruite
roland	p. 82, v. 841	pert, ja n'en avrai escange. » AOI. Carles li magnes ne	poet	muer n'en plurt..C. milie Francs pur lui unt grant tendrur E de
roland	p. 82, v. 848	argent, palies e ciclatuns, Muls e chevals e cameilz e leuns. Marsilies	mandet	d'Espaigne les baruns, Cuntes, vezcuntes e dux e almaçurs, Les amirafles
roland	p. 82, v. 851	e almaçurs, Les amirafles e les filz as cunturs :.IIII. C. milie en	ajustet	en.III. jurz ; En Sarraguce fait suner ses taburs. Mahumet levent en la
roland	p. 84, v. 875	. AOI. Li niés Marsilies tient le guant en sun poign ; Sun uncle	apelet	de mult fiere raisun : « Bel sire reis, fait m'avez un grant
roland	p. 84, v. 891	; Plus curt a piet que ne fait un cheval. Devant Marsilie cil s'	escriet	mult halt : « Jo cunduirai mun cors en Rencesvals ; Se truis Rollant,
roland	p. 86, v. 915	, de mort li duins fiance. Jamais n'ert jor que Carles ne se	pleignet	. » AOI. D'altre part est Turgis de Turteluse ; Cil est uns
roland	p. 86, v. 919	sue. De chrestïens voelt faire male vode, Devant Marsilie as altres si s'	ajustet	; Ço dist al rei : « Ne vos esmaiez unches ! Plus valt Mahum
roland	p. 88, v. 933	de Valterne ; Sarrazins est, si est sue la tere. Devant Marsilie s'	escriet	en la presse : « En Rencesvals irai l'orgoill desfaire. Se trois Rollant
roland	p. 88, v. 936	trois Rollant, n'en porterat la teste, Ne Oliver, ki les altres	cadelet	. Li.XII. per tuit sunt jugez a perdre. Franceis murrunt e France en
roland	p. 88, v. 958	Pur sa beltet dames li sunt amies ; Cele nel veit vers lui ne s'	esclargisset	; Quant ele le veit, ne poet muer ne riet ; N'i ad
roland	p. 88, v. 959	Cele nel veit vers lui ne s'esclargisset ; Quant ele le veit, ne	poet	muer ne riet ; N'i ad paien de tel chevalerie. Vint en la
roland	p. 88, v. 959	vers lui ne s'esclargisset ; Quant ele le veit, ne poet muer ne	riet	; N'i ad paien de tel chevalerie. Vint en la presse, sur
roland	p. 88, v. 961	ad paien de tel chevalerie. Vint en la presse, sur les altres s'	escriet	E dist al rei : « Ne vos esmaiez mie ! En Rencesvals irai Rollant
roland	p. 90, v. 974	saisie ; Gesir porrum el burc de seint Denise » Li reis paiens parfundement l'	enclinet	. AOI. De l'altre part est Chernubles de Munigre. Josqu'a la
roland	p. 90, v. 977	Chernubles de Munigre. Josqu'a la tere si chevoel li balient. Greignor fais	portet	par giu, quant il s'enveiset, Que.IIII. mulez ne funt, quant
roland	p. 90, v. 977	tere si chevoel li balient. Greignor fais portet par giu, quant il s'	enveiset	, Que.IIII. mulez ne funt, quant il sumeient. Icele tere, ço
roland	p. 90, v. 980	ço dit, dun il esteit, Soleill n'i luist ne blet n'i	poet	pas creistre, Pluie n'i chet, rusee n'i adeiset, Piere n'
roland	p. 90, v. 981	Soleill n'i luist ne blet n'i poet pas creistre, Pluie n'i	chet	, rusee n'i adeiset, Piere n'i ad que tute ne seit neire
roland	p. 90, v. 981	blet n'i poet pas creistre, Pluie n'i chet, rusee n'i	adeiset	, Piere n'i ad que tute ne seit neire : Dient alquanz que dïables
roland	p. 92, v. 1018	n'en serat ja de mei. » AOI. Oliver est desur un pui	Guardet	su destre par mi un val herbus, Si veit venir cele gent paienur,
roland	p. 94, v. 1034	osbercs safrez, E cil espiez, cil gunfanum fermez. Sul les escheles ne	poet	il acunter : Tant en i ad que mesure n'en set ; E lui
roland	p. 94, v. 1035	les escheles ne poet il acunter : Tant en i ad que mesure n'en	set	; E lui meïsme en est mult esguaret. Cum il einz pout, del
roland	p. 94, v. 1050	. Dist Oliver : « Paien unt grant esforz ; De noz Franceis m'i	semblet	aveir mult poi ! Cumpaign Rollant, kar sunez vostre corn : Si l'orrat
roland	p. 96, v. 1062	, Succurrat nos li reis od sun barnet. » Respont Rollant : « Ne	placet	Damnedeu Que mi parent pur mei seient blasmet Ne France dulce ja cheet en viltet
roland	p. 96, v. 1064	« Ne placet Damnedeu Que mi parent pur mei seient blasmet Ne France dulce ja	cheet	en viltet ! Einz i ferrai de Durendal asez, Ma bone espee que ai
roland	p. 96, v. 1073	est as porz passant. Je vos plevis, ja returnerunt Franc. - Ne	placet	Deu, ço li respunt Rollant, Que ço seit dit de nul hume vivant
roland	p. 96, v. 1089	petite cumpaigne. » Respunt Rollant : « Mis talenz en est graigne. Ne	placet	Damnedeu ne ses angles Que ja pur mei perdet sa valur France ! Melz voeill
roland	p. 96, v. 1090	talenz en est graigne. Ne placet Damnedeu ne ses angles Que ja pur mei	perdet	sa valur France ! Melz voeill murir que huntage me venget. Pur ben ferir
roland	p. 96, v. 1091	Que ja pur mei perdet sa valur France ! Melz voeill murir que huntage me	venget	. Pur ben ferir l'emperere plus nos aimet. » Rollant est proz e
roland	p. 96, v. 1092	Melz voeill murir que huntage me venget. Pur ben ferir l'emperere plus nos	aimet	. » Rollant est proz e Oliver est sage. Ambedui unt merveillus vasselage :
roland	p. 98, v. 1107	: « Ne dites tel ultrage ! Mal seit del coer ki el piz se	cuardet	! Nus remeindrum en estal en la place ; Par nos i ert e li
roland	p. 98, v. 1112	veit que bataille serat, Plus se fait fiers que leon ne leupart. Franceis	escriet	, Oliver apelat : « Sire cumpainz, amis, nel dire ja ! Li
roland	p. 98, v. 1122	bone espee, que li reis me dunat. Se jo i moerc, dire	poet	ki l'avrat que ele fut a noble vassal. » D'altre part est
roland	p. 98, v. 1125	vassal. » D'altre part est li arcevesques Turpin. Sun cheval broche e	muntet	un lariz ; Franceis apelet, un sermun lur ad dit : « Seignurs baruns
roland	p. 100, v. 1126	part est li arcevesques Turpin. Sun cheval broche e muntet un lariz ; Franceis	apelet	, un sermun lur ad dit : « Seignurs baruns, Carles nus laissat ci
roland	p. 100, v. 1138	se sunt mis. E l'arcevesque de Deu les beneïst : Par penitence les	cumandet	a ferir. Franceis se drecent, si se metent sur piez : Ben sunt
roland	p. 100, v. 1145	sunt a lei de chevalers E de bataille sunt tuit apareillez. Li quens Rollant	apelet	Oliver : « Sire cumpainz, mult ben le savïez, Que Guenelun nos ad
roland	p. 100, v. 1154	porz d'Espaigne en est passet Rollant Sur Veillantif, sun bon cheval curant.	Portet	ses armes, mult li sunt avenanz, Mais sun espiet vait li bers palmeiant
roland	p. 102, v. 1162	le vait sivant, E cil de France le cleiment a guarant. Vers Sarrazins	reguardet	fierement E vers Franceis humeles e dulcement, Si lur ad dit un mot curteisement
roland	p. 102, v. 1173	deignastes suner, Ne de Carlun mie vos n'en avez. Il n'en	set	mot, n'i a culpes li bers. Cil ki la sunt ne funt
roland	p. 104, v. 1189	les vus ajustez. Li niés Marsilie, il ad num Aëlroth ; Tut premereins	chevalchet	devant l'ost. De noz Franceis vait disant si mals moz : « Feluns
roland	p. 104, v. 1197	Quant l'ot Rollant, Deus ! si grant doel en out ! Sun cheval	brochet	, laiset curre a esforz, Vait le ferir li quens quanque il pout.
roland	p. 104, v. 1197	ot Rollant, Deus ! si grant doel en out ! Sun cheval brochet,	laiset	curre a esforz, Vait le ferir li quens quanque il pout. L'escut
roland	p. 104, v. 1200	quens quanque il pout. L'escut li freint e l'osberc li desclot,	Trenchet	le piz, si li briset les os, Tute l'eschine li desevret del
roland	p. 104, v. 1200	escut li freint e l'osberc li desclot, Trenchet le piz, si li	briset	les os, Tute l'eschine li desevret del dos, Od sun espiet l'
roland	p. 104, v. 1201	, Trenchet le piz, si li briset les os, Tute l'eschine li	desevret	del dos, Od sun espiet l'anme li getet fors, Enpeint le ben
roland	p. 104, v. 1202	, Tute l'eschine li desevret del dos, Od sun espiet l'anme li	getet	fors, Enpeint le ben, fait li brandir le cors, Pleine sa hanste
roland	p. 106, v. 1220	ad doel quant vit mort sun nevold, Ist de la prese, si se	met	en bandun, E si escriet l'enseigne paienor. Envers Franceis est mult cuntrarius
roland	p. 106, v. 1221	nevold, Ist de la prese, si se met en bandun, E si	escriet	l'enseigne paienor. Envers Franceis est mult cuntrarius : « Enquoi perdrat France dulce
roland	p. 106, v. 1225	onur ! » Ot le Oliver, sin ad mult grant irur. Le cheval	brochet	des oriez esperuns, Vait le ferir en guise de baron. L'escut li
roland	p. 106, v. 1228	baron. L'escut li freint e l'osberc li derumpt, El cors li	met	les pans del gunfanun, Pleine sa hanste l'abat mort des arçuns. Guardet
roland	p. 106, v. 1230	met les pans del gunfanun, Pleine sa hanste l'abat mort des arçuns.	Guardet	a tere, veit gesir le glutun, Si li ad dit par mult fiere
roland	p. 106, v. 1234	essoign. Ferez i, Francs, kar trés ben les veintrum ! » Munjoie	escriet	, ço est l'enseigne Carlun. AOI. Uns reis i est, si
roland	p. 106, v. 1244	» Ben l'entendit li arcevesques Turpin : Suz ciel n'at hume que tant	voeillet	haïr. Sun cheval brochet des esperuns d'or fin, Par grant vertut si
roland	p. 106, v. 1245	arcevesques Turpin : Suz ciel n'at hume que tant voeillet haïr. Sun cheval	brochet	des esperuns d'or fin, Par grant vertut si l'est alet ferir.
roland	p. 106, v. 1251	que mort le fait brandir, Pleine sa hanste l'abat mort el chemin.	Guardet	arere, veit le glutun gesir, Ne laisserat que n'i parolt, ço
roland	p. 108, v. 1257	de fuïr. Voz cumpaignuns feruns trestuz restifs. Nuveles vos di : mort vos	estoet	susfrir. Ferez, Franceis ! Nul de vus ne s'ublit ! Cist premer
roland	p. 108, v. 1260	ne s'ublit ! Cist premer colp est nostre, Deu mercit ! » Munjoie	escriet	por le camp retenir. E Gerins fiert Malprimis de Brigal. Sis bons escuz
roland	p. 108, v. 1264	li valt ; Tute li freint la bucle de cristal, L'une meitiet li	turnet	cuntreval ; L'osberc li rumpt entresque a la charn, Sun bon espiet enz
roland	p. 108, v. 1267	a la charn, Sun bon espiet enz el cors li enbat ; Li paiens	chet	cuntreval a un quat. L'anme de lui en portet Sathanas. AOI.
roland	p. 108, v. 1268	enbat ; Li paiens chet cuntreval a un quat. L'anme de lui en	portet	Sathanas. AOI. E sis cumpainz Gerers fiert l'amurafle. L'escut li
roland	p. 108, v. 1270	sis cumpainz Gerers fiert l'amurafle. L'escut li freint e l'osberc li	desmailet	, Sun bon espiet li met en la curaille, Empeint le bien, par
roland	p. 108, v. 1271	. L'escut li freint e l'osberc li desmailet, Sun bon espiet li	met	en la curaille, Empeint le bien, par mi le cors li passet,
roland	p. 108, v. 1272	li met en la curaille, Empeint le bien, par mi le cors li	passet	, Que mort l'abat el camp, pleine sa hanste. Dist Oliver :
roland	p. 108, v. 1278	ad or e a flurs, Li bons osbercs ne li est guarant prod,	Trenchet	li le coer, le firie e le pulmun, Que mort l'abat,
roland	p. 110, v. 1281	. Dist l'arcevesque : « Cist colp est de baron ! » E Anseïs	laiset	le cheval curre, Si vait ferir Turgis de Turteluse. L'escut li freint
roland	p. 110, v. 1285	, De sun osberc li derumpit les dubles, Del bon espiet el cors li	met	la mure, Empeinst le ben, tut le fer li mist ultre, Pleine
roland	p. 110, v. 1287	, tut le fer li mist ultre, Pleine sa hanste el camp mort le	tresturnet	. Ço dist Rollant : « Cist colp est de produme ! » Et Engelers
roland	p. 110, v. 1290	Cist colp est de produme ! » Et Engelers li Guascuinz de Burdele Sun cheval	brochet	, si li laschet la resne, Si vait ferir Escremiz de Valterne. L'
